IP,TimeStamp,URL,Status
10.128.2.1,2017-12-16 15:09:37,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.128.2.1,2018-01-16 07:21:16,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.131.0.1,2017-11-23 18:43:41,GET /details.php?id=33 HTTP/1.1,400
10.131.0.1,2017-12-19 11:26:25,GET /css/style.css HTTP/1.1,200
10.131.0.1,2017-12-17 04:59:30,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200
10.129.2.1,2017-11-23 19:01:15,GET / HTTP/1.1,302
10.131.2.1,2017-11-29 13:46:50,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.131.0.1,2017-11-30 17:45:15,GET /details.php?name=Adjacency%20List&cod=16 HTTP/1.1,401
10.130.2.1,2017-11-30 13:24:09,GET /js/vendor/moment.min.js HTTP/1.1,200
10.131.0.1,2017-11-30 15:03:02,GET /details.php?id=41 HTTP/1.1,200
10.131.0.1,2017-11-30 17:24:20,GET /submit.php?id=73 HTTP/1.1,403
10.128.2.1,2017-12-16 00:48:52,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200
10.130.2.1,2017-11-30 17:54:09,GET /robots.txt HTTP/1.1,403
10.129.2.1,2017-11-30 17:36:04,GET /details.php?id=35 HTTP/1.1,401
10.131.0.1,2017-11-30 17:17:24,GET /details.php?name=Factorial%20Factorization&cod=16 HTTP/1.1,401
10.131.2.1,2017-11-30 16:49:28,GET / HTTP/1.1,302
10.130.2.1,2017-12-16 18:04:33,GET /index.php HTTP/1.1,302
10.128.2.1,2018-01-29 20:24:33,GET /contestsubmission.php?id=13&show=abufarhad HTTP/1.1,403
10.128.2.1,2017-12-14 00:00:24,GET /contestsubmission.php?id=16&page=2 HTTP/1.1,400
10.131.0.1,2017-11-09 20:13:04,GET /login.php HTTP/1.1,200
10.131.2.1,2017-11-14 15:51:23,GET /contestproblem.php HTTP/1.0,401
10.129.2.1,2017-12-14 17:59:35,GET /contestsubmission.php?id=13&page=2 HTTP/1.1,400
10.131.0.1,2017-12-15 17:06:49,GET /fonts/fontawesome-webfont.woff?v=4.6.3 HTTP/1.1,401
10.131.0.1,2017-11-30 20:56:38,GET /editcontestproblem.php?id=42 HTTP/1.1,403
10.131.0.1,2018-01-29 20:21:54,GET /home.php HTTP/1.1,302
10.131.0.1,2017-11-30 15:24:15,GET /contestsubmission.php?id=16 HTTP/1.1,200
10.131.2.1,2017-11-30 17:00:14,GET /contestsubmit.php?id=42 HTTP/1.1,200
10.131.0.1,2017-12-13 10:24:38,GET /contestshowcode.php?id=338&nm=shawon&cn=13 HTTP/1.1,401
10.128.2.1,2017-11-30 17:18:45,GET /standings.php?id=3 HTTP/1.1,400
10.130.2.1,2017-12-13 14:20:18,GET /profile.php?user=mahadi HTTP/1.1,401
10.129.2.1,2017-11-30 15:05:37,GET /editcontestproblem.php?id=42 HTTP/1.1,401
10.131.0.1,2017-12-13 13:27:18,GET /css/style.css HTTP/1.1,200
10.130.2.1,2017-11-30 17:50:15,GET /details.php?id=46 HTTP/1.1,200
10.128.2.1,2018-01-29 20:24:26,GET /login.php HTTP/1.1,200
10.130.2.1,2017-11-30 15:20:11,GET /contest.php HTTP/1.1,200
10.129.2.1,2017-12-01 10:30:44,GET /showcode.php?id=296&nm=bruce HTTP/1.1,401
10.131.2.1,2017-11-30 15:49:44,GET /contestsubmission.php?id=16&show=bruce HTTP/1.1,200
10.131.2.1,2017-11-30 19:36:28,GET /contestsubmission.php?id=13&page=3 HTTP/1.1,403
10.129.2.1,2017-11-30 18:00:08,GET /standings.php?id=16 HTTP/1.1,200
10.131.2.1,2017-12-14 04:54:00,GET /contestsubmission.php?id=16 HTTP/1.1,401
10.130.2.1,2017-11-30 14:59:56,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302
10.128.2.1,2018-01-29 20:18:24,GET /fonts/fontawesome-webfont.woff2 HTTP/1.0,400
10.129.2.1,2017-11-30 15:51:06,GET /submit.php?id=76 HTTP/1.1,403
10.131.0.1,2017-11-30 12:36:51,GET /editcontest.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,401
10.128.2.1,2017-12-01 18:10:28,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200
10.130.2.1,2017-11-21 17:32:40,GET /contestsubmission.php?id=16 HTTP/1.1,401
10.129.2.1,2018-01-18 12:49:18,GET /details.php?id=41 HTTP/1.1,401
10.131.2.1,2017-11-18 06:43:03,GET /contestsubmit.php?id=45 HTTP/1.1,403
10.130.2.1,2017-11-26 21:24:59,GET /robots.txt HTTP/1.1,404
10.129.2.1,2018-01-29 20:20:47,GET /showcode.php?id=222&nm=nasif25 HTTP/1.1,403
10.131.2.1,2017-12-01 10:50:38,GET /contestshowcode.php?id=338&nm=shawon&cn=13 HTTP/1.1,403
10.131.0.1,2017-11-30 12:07:27,GET /contestsubmission.php?id=16&show=Tasnim_1610007 HTTP/1.1,401
10.129.2.1,2018-01-18 12:48:44,GET /details.php?name=Adjacency%20List&cod=16 HTTP/1.1,403
10.129.2.1,2017-11-30 16:13:09,POST /archive.php HTTP/1.1,401
10.130.2.1,2017-11-30 19:48:57,POST /profile.php?user=shawon HTTP/1.1,401
10.131.2.1,2017-11-25 11:15:43,GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1,400
10.128.2.1,2017-11-30 18:43:47,GET /allsubmission.php HTTP/1.1,403
10.131.0.1,2017-12-14 11:13:27,GET /home.php HTTP/1.1,302
10.131.0.1,2017-11-30 20:07:24,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.131.2.1,2017-12-14 04:54:00,GET /contestshowcode.php?id=339&nm=shawon&cn=13 HTTP/1.1,401
10.131.2.1,2017-11-30 16:45:30,GET /contestsubmission.php?id=16&show=utshab_1603022 HTTP/1.1,401
10.131.2.1,2017-12-17 02:53:40,GET /allsubmission.php?name=zerocool HTTP/1.1,403
10.131.2.1,2017-11-29 15:04:41,GET /submit.php?id=63 HTTP/1.1,400
10.130.2.1,2018-01-29 20:23:36,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.128.2.1,2017-11-29 14:05:28,GET /contestproblem.php?name=RUET%20OJ%20Final%20Test HTTP/1.1,403
10.130.2.1,2017-11-30 16:38:06,GET /css/bootstrap.min.css HTTP/1.1,200
10.131.2.1,2017-11-22 10:03:41,GET /css/font-awesome.min.css HTTP/1.1,200
10.131.2.1,2017-11-30 15:53:20,GET /home.php HTTP/1.1,200
10.131.0.1,2017-11-29 16:23:22,GET /standings.php?id=12 HTTP/1.1,400
10.129.2.1,2017-11-30 18:40:33,GET /details.php?id=41 HTTP/1.1,200
10.128.2.1,2017-11-09 14:35:00,GET /img/ruet.png HTTP/1.1,200
10.131.0.1,2017-12-12 13:30:43,GET /css/bootstrap.min.css HTTP/1.1,200
10.131.0.1,2017-11-30 12:18:08,GET /bootstrap-3.3.7/js/bootstrap.js HTTP/1.1,401
10.131.0.1,2017-11-30 17:45:40,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.131.2.1,2017-11-30 15:56:53,GET /submit.php?id=64 HTTP/1.1,403
10.131.2.1,2017-11-30 17:30:28,GET /standings.php?id=16 HTTP/1.1,200
10.130.2.1,2018-01-29 20:20:37,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.130.2.1,2017-11-30 16:50:08,GET /css/bootstrap.min.css HTTP/1.1,200
10.128.2.1,2018-01-29 20:26:34,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.131.0.1,2018-01-29 20:21:27,GET /login.php HTTP/1.1,200
10.131.0.1,2017-11-26 20:01:42,GET /contestproblem.php?name=RUET%20OJ%20Final%20Test HTTP/1.1,403
10.131.0.1,2018-01-16 06:03:04,GET /archive.php HTTP/1.1,200
10.129.2.1,2017-11-11 19:24:40,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,403
10.131.0.1,2017-11-17 15:12:15,GET /css/bootstrap.min.css HTTP/1.1,200
10.129.2.1,2017-11-16 19:51:59,GET /css/main.css HTTP/1.1,200
10.128.2.1,2017-11-30 17:54:17,GET /bootstrap-3.3.7/js/bootstrap.js HTTP/1.1,400
10.131.2.1,2017-11-30 16:55:35,GET /standings.php?id=16 HTTP/1.1,200
10.129.2.1,2017-11-30 15:47:59,POST /allsubmission.php HTTP/1.1,400
10.130.2.1,2017-11-13 13:02:24,GET /css/bootstrap.min.css HTTP/1.1,304
10.131.0.1,2017-11-30 15:53:03,GET /contestproblem.php?name=RUET%20OJ%20TLE%20Testing%20Contest HTTP/1.1,400
10.128.2.1,2018-01-29 20:21:27,GET /home.php HTTP/1.1,302
10.129.2.1,2017-11-11 19:37:54,GET /submit.php?id=77 HTTP/1.1,200
10.131.2.1,2017-12-02 16:46:30,GET /edit.php?name=Tazbinur%20Rahaman HTTP/1.1,401
10.130.2.1,2017-11-29 14:56:00,GET /profile.php?user=ashadullah HTTP/1.1,403
10.130.2.1,2017-11-30 17:46:46,GET /standings.php?id=16 HTTP/1.1,200
10.130.2.1,2017-11-30 17:26:58,GET /showcode.php?id=280&nm=shawon HTTP/1.1,401
10.128.2.1,2017-11-23 07:22:44,GET /login.php HTTP/1.0,400
10.131.0.1,2017-11-30 16:22:19,GET /js/vendor/moment.min.js HTTP/1.1,200
10.129.2.1,2017-11-30 13:25:50,GET /archive.php?page=2 HTTP/1.1,200
10.130.2.1,2017-11-16 15:32:35,GET /sign.php HTTP/1.1,200
10.129.2.1,2017-11-30 17:17:43,GET /details.php?id=42 HTTP/1.1,403
10.130.2.1,2017-12-13 08:05:48,GET /profile.php?user=uva HTTP/1.1,403
10.131.2.1,2017-11-23 20:23:23,GET /archive.php HTTP/1.0,401
10.131.0.1,2018-01-29 20:26:48,GET /login.php HTTP/1.1,200
10.131.2.1,2017-11-13 05:58:24,GET /profile.php?user=Shawon14012 HTTP/1.1,403
10.131.0.1,2017-11-11 19:46:53,GET /profile.php?user=samin_1610002 HTTP/1.1,403
10.128.2.1,2017-12-14 10:15:45,GET /fonts/fontawesome-webfont.eot?v=4.6.3 HTTP/1.1,403
10.130.2.1,2017-11-30 17:03:09,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.129.2.1,2017-12-02 16:46:24,GET /allsubmission.php?name=mahadi HTTP/1.1,400
10.131.2.1,2017-11-30 12:49:51,GET /contestsubmit.php?id=41 HTTP/1.1,401
10.131.2.1,2017-11-12 11:18:28,GET /contestshowcode.php?id=392&nm=dhruba_1603088&cn=16 HTTP/1.1,403
10.128.2.1,2017-11-17 13:28:48,GET /home.php HTTP/1.1,200
10.128.2.1,2017-11-26 19:20:06,GET /index.php HTTP/1.1,401
10.131.0.1,2017-12-01 18:12:52,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.128.2.1,2018-01-29 20:21:53,GET /contestsubmission.php?id=12&page=2 HTTP/1.1,403
10.129.2.1,2017-11-30 06:33:46,GET /contestshowcode.php?id=392&nm=dhruba_1603088&cn=16 HTTP/1.1,400
10.128.2.1,2017-11-30 15:22:28,GET /img/ruet.png HTTP/1.1,200
10.128.2.1,2017-12-13 10:24:38,GET / HTTP/1.1,302
10.131.0.1,2017-12-03 15:53:51,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.131.2.1,2017-11-17 05:20:26,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,304
10.129.2.1,2017-11-29 17:57:56,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302
10.129.2.1,2017-11-17 13:30:07,GET /contestshowcode.php?id=338&nm=shawon&cn=13 HTTP/1.1,200
10.131.0.1,2017-11-30 15:49:26,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.131.0.1,2017-11-17 15:15:50,GET /js/jquery.min.js HTTP/1.1,200
10.130.2.1,2018-01-29 20:24:56,GET /archive.php?page=1 HTTP/1.1,401
10.129.2.1,2017-11-20 04:47:03,GET /allsubmission.php?page=4 HTTP/1.1,401
10.131.2.1,2017-12-01 06:24:11,GET /home.php HTTP/1.0,401
10.130.2.1,2017-11-30 18:00:07,GET /contestproblem.php?name=RUET%20CSE%20Contest%203 HTTP/1.1,401
10.128.2.1,2017-12-15 08:47:55,GET /login.php HTTP/1.1,200
10.130.2.1,2017-11-17 11:15:41,GET /login.php HTTP/1.1,200
10.129.2.1,2017-11-29 18:26:12,GET /description.php?name=RUET HTTP/1.1,200
10.130.2.1,2017-11-24 17:29:45,GET /standings.php?id=13 HTTP/1.1,400
10.131.2.1,2017-11-16 15:31:45,GET /profile.php?user=superman100 HTTP/1.1,401
10.129.2.1,2017-11-09 20:56:15,GET /submit.php?id=63 HTTP/1.1,401
10.131.0.1,2017-11-30 12:33:53,POST /pcompile.php HTTP/1.1,200
10.129.2.1,2017-12-02 04:59:19,GET /showcode.php?id=288&nm=Riyal_RUET HTTP/1.1,403
10.131.2.1,2017-11-30 16:22:00,GET /allsubmission.php?page=2 HTTP/1.1,400
10.130.2.1,2017-12-21 15:44:40,GET /robots.txt HTTP/1.1,404
10.129.2.1,2017-11-23 18:39:57,GET /edit.php?name=mahadi HTTP/1.1,400
10.131.0.1,2017-11-23 13:51:07,GET /editcontestproblem.php?id=44 HTTP/1.1,401
10.130.2.1,2017-12-18 21:27:46,GET /editcontest.php?name=RUET%20OJ%20TLE%20Testing%20Contest HTTP/1.1,400
10.129.2.1,2017-11-12 13:11:45,GET /profile.php?user=st.zuhori HTTP/1.1,400
10.128.2.1,2017-12-01 19:07:40,GET /details.php?name=Matrix%20For%20My%20Valentine%20&cod=16 HTTP/1.1,400
10.128.2.1,2017-11-30 19:23:40,GET /details.php?id=9 HTTP/1.1,403
10.130.2.1,2017-11-18 07:10:41,GET / HTTP/1.1,200
10.131.0.1,2017-12-16 16:20:41,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.129.2.1,2018-01-18 12:50:22,GET /profile.php?user=mahadi HTTP/1.1,400
10.128.2.1,2017-11-30 15:04:55,GET /edit.php?name=zerocool HTTP/1.1,400
10.128.2.1,2017-11-24 08:29:47,GET /css/bootstrap.min.css HTTP/1.1,200
10.131.2.1,2017-11-30 17:22:36,GET /profile.php?user=Riyal_RUET HTTP/1.1,403
10.131.0.1,2017-11-20 13:18:40,GET /description.php?name=Google%20feeling%20lucky. HTTP/1.1,403
10.131.2.1,2017-11-12 11:36:51,GET /login.php HTTP/1.1,200
10.128.2.1,2017-11-30 16:19:26,GET /profile.php?user=Shawon14012 HTTP/1.1,400
10.129.2.1,2018-01-18 12:48:44,GET /dcss/bootstrap-datetimepicker.min.css HTTP/1.1,403
10.128.2.1,2017-11-30 15:58:17,GET /details.php?id=46 HTTP/1.1,401
10.131.0.1,2017-12-18 13:59:50,GET /sign.php HTTP/1.1,200
10.129.2.1,2017-11-29 21:51:57,GET /css/bootstrap.min.css HTTP/1.1,200
10.128.2.1,2017-11-30 15:26:43,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.130.2.1,2018-01-18 16:59:15,GET /home.php HTTP/1.1,200
10.131.2.1,2017-11-20 04:49:32,GET /dcss/bootstrap-datetimepicker.min.css HTTP/1.1,401
10.131.2.1,2017-11-30 16:17:42,POST /pcompile.php HTTP/1.1,200
10.131.2.1,2017-12-18 08:50:48,GET /contestshowcode.php?id=338&nm=shawon&cn=13 HTTP/1.1,403
10.131.0.1,2017-12-16 15:09:35,GET /login.php HTTP/1.1,200
10.131.0.1,2018-01-29 20:21:24,GET /login.php HTTP/1.1,200
10.131.0.1,2017-11-30 13:12:03,GET /showcode.php?id=283&nm=ashadullah HTTP/1.1,400
10.129.2.1,2017-11-17 19:40:07,GET /login.php HTTP/1.1,200
10.130.2.1,2017-11-30 15:45:55,POST /pcompile.php HTTP/1.1,200
10.130.2.1,2017-12-14 05:10:07,GET /contest.php HTTP/1.1,401
10.131.0.1,2017-11-14 21:01:58,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200
10.128.2.1,2017-11-23 18:39:59,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.130.2.1,2017-11-29 15:07:46,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.129.2.1,2017-12-01 10:50:38,POST /announcement.php HTTP/1.1,401
10.131.0.1,2017-11-29 15:04:35,GET /profile.php?user=bala HTTP/1.1,403
10.130.2.1,2018-01-29 20:19:48,GET /contestproblem.php?name=RUET%20OJ%20TLE%20Testing%20Contest HTTP/1.1,400
10.131.2.1,2017-11-17 13:29:53,GET /allsubmission.php?name=shawon HTTP/1.1,401
10.128.2.1,2017-11-30 15:29:31,GET /profile.php?user=Shawon HTTP/1.1,400
10.131.2.1,2017-12-18 19:03:35,GET /contestsubmission.php HTTP/1.0,400
10.131.2.1,2017-12-16 06:49:51,GET /contestsubmission.php?id=16&page=2 HTTP/1.1,401
10.131.2.1,2017-11-19 21:46:19,GET / HTTP/1.1,302
10.128.2.1,2017-11-09 03:36:12,GET /login.php HTTP/1.1,200
10.129.2.1,2017-11-17 23:59:10,GET /allsubmission.php?name=zerocool HTTP/1.1,401
10.130.2.1,2017-11-30 20:59:55,GET /profile.php?user=m.r.saurov HTTP/1.1,400
10.131.2.1,2017-11-29 16:22:32,GET /contestproblem.php?name=RUET%20OJ%20Final%20Test HTTP/1.1,400
10.128.2.1,2017-12-01 06:28:11,GET /css/main.css HTTP/1.1,200
10.128.2.1,2018-01-29 20:19:14,GET /login.php HTTP/1.1,200
10.130.2.1,2017-11-30 15:42:42,GET /css/bootstrap.min.css HTTP/1.1,206
10.130.2.1,2017-12-14 19:00:47,GET /contestsubmission.php?id=13&show=abufarhad HTTP/1.1,403
10.129.2.1,2017-11-29 18:25:59,GET /home.php HTTP/1.1,200
10.129.2.1,2017-11-17 13:28:01,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200
10.128.2.1,2017-11-30 16:15:44,GET /editcontestproblem.php?id=42 HTTP/1.1,400
10.131.2.1,2017-11-30 16:24:32,GET /css/style.css HTTP/1.1,401
10.130.2.1,2017-12-01 08:17:35,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.128.2.1,2017-11-30 14:40:18,GET /editcontestproblem.php?id=43 HTTP/1.1,403
10.129.2.1,2017-12-16 16:20:41,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,400
10.128.2.1,2017-11-30 21:01:07,GET /profile.php?user=PKP HTTP/1.1,400
10.130.2.1,2018-01-29 20:21:00,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.131.0.1,2017-12-15 17:07:22,GET /archive.php HTTP/1.1,200
10.131.2.1,2017-11-23 19:55:03,GET /description.php?name=RUET HTTP/1.1,400
10.129.2.1,2017-11-30 13:17:59,GET /showcode.php?id=283&nm=ashadullah HTTP/1.1,400
10.129.2.1,2017-11-13 13:03:48,GET /home.php HTTP/1.1,200
10.131.0.1,2017-11-30 15:45:05,GET /details.php?id=45 HTTP/1.1,400
10.129.2.1,2017-11-30 15:57:09,GET /details.php?id=37 HTTP/1.1,401
10.128.2.1,2017-11-30 15:00:22,GET /details.php?id=42 HTTP/1.1,200
10.129.2.1,2017-11-29 17:00:08,GET /edit.php?name=mahadi HTTP/1.1,400
10.128.2.1,2018-01-29 20:23:26,GET /login.php HTTP/1.1,200
10.131.2.1,2017-11-30 17:46:44,GET /contestsubmission.php?id=16 HTTP/1.1,200
10.128.2.1,2017-11-30 14:54:48,GET /profile.php?user=shawon HTTP/1.1,403
10.128.2.1,2018-01-18 12:50:35,GET /home.php HTTP/1.1,302
10.131.0.1,2017-12-21 15:44:28,GET /profile.php?user=wbreturn HTTP/1.1,400
10.131.2.1,2017-11-24 02:36:28,GET /submit.php?id=73 HTTP/1.1,400
10.128.2.1,2017-11-21 08:17:29,GET /css/main.css HTTP/1.1,200
10.130.2.1,2017-11-30 16:50:56,GET /djs/bootstrap-datetimepicker.js HTTP/1.1,403
10.131.2.1,2017-11-10 06:22:58,GET / HTTP/1.1,302
10.131.2.1,2017-11-12 11:18:26,GET / HTTP/1.1,302
10.128.2.1,2018-01-29 20:23:47,GET /login.php HTTP/1.1,200
10.128.2.1,2017-11-13 17:59:07,GET /sign.php HTTP/1.1,200
10.130.2.1,2017-11-23 06:48:16,GET /allsubmission.php HTTP/1.1,401
10.131.0.1,2018-01-29 20:27:42,GET /login.php HTTP/1.1,200
10.129.2.1,2017-11-30 16:15:38,GET /details.php?id=44 HTTP/1.1,200
10.128.2.1,2017-11-30 06:32:06,GET /contestproblem.php?name=RUET%20OJ%20Testing%20Contest%203 HTTP/1.1,400
10.130.2.1,2017-12-15 19:19:15,GET /allsubmission.php?page=3 HTTP/1.1,403
10.128.2.1,2017-11-30 15:09:43,GET /contestsubmission.php?id=12&page=2 HTTP/1.1,401
10.131.0.1,2017-11-30 16:20:37,GET /details.php?id=33 HTTP/1.1,401
10.131.0.1,2017-11-30 16:50:56,GET /contest.php HTTP/1.1,200
10.131.2.1,2017-11-12 11:18:54,GET /profile.php?user=dhruba_1603088 HTTP/1.1,400
10.128.2.1,2017-12-12 16:07:04,GET /details.php?id=42 HTTP/1.1,401
10.128.2.1,2017-11-30 14:43:07,GET / HTTP/1.1,302
10.131.2.1,2017-11-17 03:09:05,GET / HTTP/1.1,302
10.128.2.1,2017-11-11 19:25:11,GET /home.php HTTP/1.1,200
10.131.2.1,2017-12-01 13:37:15,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.130.2.1,2017-11-23 20:19:51,GET /djs/bootstrap-datetimepicker.js HTTP/1.1,401
10.128.2.1,2017-11-30 16:08:27,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.131.2.1,2017-11-12 12:38:45,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,304
10.128.2.1,2017-11-30 13:25:50,GET /contestsubmission.php?id=13&show=abufarhad HTTP/1.1,401
10.129.2.1,2017-11-30 13:23:03,GET /js/jquery.min.js HTTP/1.1,206
10.128.2.1,2017-12-14 02:34:46,GET / HTTP/1.1,302
10.131.0.1,2017-11-30 12:43:02,GET /details.php?id=33 HTTP/1.1,400
10.130.2.1,2017-11-30 16:09:22,GET / HTTP/1.1,200
10.130.2.1,2017-12-03 14:39:26,GET /edit.php?name=Tazbinur%20Rahaman HTTP/1.1,400
10.131.0.1,2017-11-30 12:39:42,GET /contestsubmission.php?id=3&show=shawon HTTP/1.1,403
10.131.0.1,2018-01-29 20:26:31,GET /home.php HTTP/1.1,302
10.131.2.1,2017-11-30 16:03:02,GET /description.php?name=The%20Triangle HTTP/1.1,400
10.131.0.1,2017-11-30 11:55:50,GET /home.php HTTP/1.1,200
10.130.2.1,2017-11-29 15:11:21,GET /announcement.php HTTP/1.1,401
10.131.2.1,2017-11-30 15:53:22,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.130.2.1,2017-11-30 12:47:43,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302
10.129.2.1,2017-11-30 06:38:09,GET /description.php?id=67 HTTP/1.1,403
10.130.2.1,2017-11-19 13:30:11,GET /css/bootstrap.min.css HTTP/1.1,200
10.131.2.1,2018-01-29 20:23:32,GET /login.php HTTP/1.0,400
10.128.2.1,2017-11-30 14:26:51,GET /allsubmission.php?page=3 HTTP/1.1,400
10.131.0.1,2017-11-11 19:33:19,GET /showcode.php?id=300&nm=x HTTP/1.1,401
10.128.2.1,2017-11-25 18:17:47,GET /editcontest.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.130.2.1,2017-11-30 17:20:07,POST /process.php HTTP/1.1,302
